name,type,cost,slo,quantity,prerequisite,effect,repair
Стандартная нода,Node,2,0,7,,Повышает максимум устойчивости на 2; даёт вместимость для одной Workload.,1 ресурс за снятие инцидента
Нода с GPU-ускорителем,Node,4,0,3,Требует Control Plane,Даёт +1 SLO любой вашей Workload на этой Node; при розыгрыше возьмите карту.,2 ресурса за снятие инцидента
Спотовая нода,Node,1,0,4,,Предоставляет 1 вместимость; при получении инцидента сбросьте карту вместо ремонта.,Не ремонтируется
Управляемый контрольный план,Control Plane,3,0,3,,Открывает возможность разыгрывать Workloads; при розыгрыше возьмите карту.,2 ресурса за снятие инцидента
Отказоустойчивый контрольный план,Control Plane,5,0,2,Требует Control Plane,"Пока карта без инцидентов, ваша устойчивость не может упасть ниже 1.",3 ресурса за снятие инцидента
Стек постоянных томов,Storage,3,0,4,Требует Node,Каждая ваша stateful Workload получает +1 SLO.,2 ресурса за снятие инцидента
Шлюз сервисной сетки,Networking,3,0,3,,При розыгрыше Workload получите 1 ресурс.,2 ресурса за снятие инцидента
Пограничный балансировщик нагрузки,Networking,2,0,3,,"Раз в ход заплатите 1 ресурс, чтобы взять карту из Общего пула и сразу сбросить её.",1 ресурс за снятие инцидента
Стек наблюдаемости,Automation,2,0,4,,В конце хода можете посмотреть верхнюю карту колоды и оставить или сбросить её.,1 ресурс за снятие инцидента
GitOps-конвейер,Automation,3,0,3,Требует Control Plane,Во время Deploy можете сыграть дополнительную карту со скидкой 1 ресурс.,2 ресурса за снятие инцидента
Автоскейлер кластера,Automation,3,0,3,Требует Node,Во время Refresh получите +1 ресурс за каждые 2 Nodes.,2 ресурса за снятие инцидента
План аварийного восстановления,Upgrade,4,0,3,Требует Storage,"Если устойчивость должна упасть ниже 0, сбросьте карту и установите устойчивость на 2.",3 ресурса за снятие инцидента
Бесстейтовый API-сервис,Workload,2,2,5,Требует 2 Nodes,"Пока карта без инцидентов, во время Refresh получайте +1 ресурс.",2 ресурса за снятие инцидента
Очередь обработки событий,Workload,3,2,3,Требует Networking,При розыгрыше получите 2 ресурса.,2 ресурса за снятие инцидента
Кластер stateful-базы данных,Workload,4,3,3,Требует Storage,Получает +1 SLO за каждый ваш Persistent Volume Stack.,3 ресурса за снятие инцидента
Платформа машинного обучения,Workload,5,4,2,Требует GPU Accelerator Node,"Противники платят +1 ресурс, чтобы сыграть Attack против вас.",3 ресурса за снятие инцидента
Пакетный ETL-конвейер,Workload,3,2,3,Требует Node,"В конце хода можете сбросить карту, чтобы получить 2 ресурса.",2 ресурса за снятие инцидента
Панель realtime-аналитики,Workload,4,3,2,Требует Networking,"При розыгрыше возьмите 2 карты: одну оставьте, вторую сбросьте.",2 ресурса за снятие инцидента
Пакет внутренних инструментов,Workload,2,1,3,Требует Control Plane,При розыгрыше получите +1 к устойчивости.,1 ресурс за снятие инцидента
Всплеск DDoS,Attack,3,0,4,,"Разместите 2 инцидента на Nodes цели; она теряет ресурсы, полученные в этот ход.",Цель платит 2 ресурса за каждый инцидент
Компрометация цепочки поставок,Attack,4,0,2,,Заберите у цели карту Automation или Upgrade; разместите 1 инцидент на новой карте.,Цель платит 3 ресурса за снятие инцидента
Сбойный CronJob,Attack,2,0,2,,Разместите 1 инцидент на Workload; она не даёт SLO до ремонта.,Цель платит 2 ресурса за снятие инцидента
Заморозка бюджета,Attack,3,0,3,,Цель пропускает следующую фазу Plan и теряет 2 ресурса.,Не ремонтируется; инцидент снимается после пропуска
Аудит соответствия,Attack,2,0,2,,Цель должна сбросить карту Automation или показать руку без Attack.,Ремонт не требуется
Рой зомби-подов,Attack,4,0,3,,Цель теряет 1 устойчивость и получает инцидент на Control Plane.,Цель платит 3 ресурса за снятие инцидента
Плейбук реагирования на инциденты,Response,1,0,3,,"Отмените Attack, нацеленную на вас, и возьмите карту.",-
Учения по Chaos Engineering,Response,2,0,3,,Удалите до 2 инцидентов со своих карт.,-
Горячая бригада,Response,2,0,3,,Восстановите 2 единицы устойчивости.,-
Blue-Green релиз,Response,3,0,2,,Разыграйте Workload из сброса бесплатно; она получает 1 инцидент.,-
